Date,Size,Price
"Wednesday, September 9, 2020",9,"$2,370"
"Saturday, September 5, 2020",12,"$2,578"
"Monday, August 31, 2020",9,"$2,215"
"Monday, August 31, 2020",9,"$2,223"
"Tuesday, August 25, 2020",10,"$2,485"
"Sunday, August 23, 2020",8,"$2,536"
"Friday, August 21, 2020",9,"$2,328"
"Wednesday, August 19, 2020",10,"$2,474"
"Wednesday, August 19, 2020",13,"$2,100"
"Monday, August 17, 2020",9,"$2,250"
"Sunday, August 16, 2020",12,"$1,830"
"Saturday, August 15, 2020",9,"$2,518"
"Saturday, August 15, 2020",7,"$1,705"
"Friday, August 14, 2020",13,"$1,765"
"Thursday, August 13, 2020",11,"$2,218"
"Thursday, August 13, 2020",9,"$2,560"
"Monday, August 10, 2020",12,"$2,129"
"Monday, August 10, 2020",9,"$2,499"
"Monday, August 10, 2020",11,"$2,361"
"Sunday, August 9, 2020",9,"$2,352"
"Saturday, August 8, 2020",11,"$2,549"
"Friday, August 7, 2020",11,"$2,398"
"Saturday, August 15, 2020",7,"$1,705"
"Friday, August 14, 2020",13,"$1,765"
"Thursday, August 13, 2020",11,"$2,218"
"Thursday, August 13, 2020",9,"$2,560"
"Monday, August 10, 2020",12,"$2,129"
"Monday, August 10, 2020",9,"$2,499"
"Monday, August 10, 2020",11,"$2,361"
"Sunday, August 9, 2020",9,"$2,352"
"Saturday, August 8, 2020",11,"$2,549"
"Friday, August 7, 2020",11,"$2,398"
"Wednesday, August 5, 2020",8,"$2,599"
"Monday, August 3, 2020",12,"$1,950"
"Monday, August 3, 2020",13,"$1,650"
"Sunday, August 2, 2020",10,"$2,451"
"Sunday, August 2, 2020",8,"$2,501"
"Saturday, August 1, 2020",12,"$1,975"
"Friday, July 31, 2020",9,"$2,200"
"Tuesday, July 28, 2020",8,"$2,400"
"Tuesday, July 28, 2020",11,"$2,170"
"Monday, July 27, 2020",11,"$2,284"
"Friday, July 24, 2020",12,"$2,075"
"Friday, July 24, 2020",11,"$2,005"
"Friday, July 24, 2020",12,"$2,155"
"Sunday, July 19, 2020",8,"$2,220"
"Thursday, July 16, 2020",13,"$1,753"
"Wednesday, July 15, 2020",9,"$2,480"
"Wednesday, July 15, 2020",10,"$2,440"
"Wednesday, July 15, 2020",12,"$1,999"
"Tuesday, July 14, 2020",12,"$1,987"
"Tuesday, July 14, 2020",12,"$1,890"
"Tuesday, July 14, 2020",10,"$2,264"
"Monday, July 13, 2020",11,"$2,001"
"Monday, July 13, 2020",7,"$1,877"
"Friday, July 10, 2020",11,"$2,385"
"Thursday, July 9, 2020",9,"$2,284"
"Thursday, July 9, 2020",9,"$2,470"
"Wednesday, July 8, 2020",12,"$1,895"
"Wednesday, July 8, 2020",12,"$1,861"
"Tuesday, July 7, 2020",9,"$2,357"
"Monday, July 6, 2020",11,"$2,225"
"Friday, July 3, 2020",10,"$2,155"
"Thursday, July 2, 2020",9,"$2,285"
"Thursday, July 2, 2020",12,"$1,888"
"Wednesday, July 1, 2020",12,"$1,925"
"Tuesday, June 30, 2020",12,"$2,084"
"Monday, June 29, 2020",11,"$2,197"
"Monday, June 29, 2020",9,"$2,399"
"Sunday, June 28, 2020",11,"$1,890"
"Friday, June 26, 2020",11,"$1,921"
"Wednesday, June 24, 2020",8,"$2,435"
"Wednesday, June 24, 2020",9,"$2,489"
"Tuesday, June 23, 2020",13,"$1,969"
"Sunday, June 21, 2020",11,"$1,925"
"Friday, June 19, 2020",10,"$2,600"
"Sunday, June 14, 2020",13,"$1,700"
"Friday, June 12, 2020",10,"$2,150"
"Monday, June 8, 2020",11,"$2,360"
"Sunday, June 7, 2020",9,"$2,285"
"Thursday, June 4, 2020",10,"$2,350"
"Tuesday, June 2, 2020",11,"$2,275"
"Sunday, May 31, 2020",11,"$2,150"
"Sunday, May 31, 2020",13,"$1,725"
"Sunday, May 31, 2020",12,"$1,876"
"Saturday, May 23, 2020",9,"$2,454"
"Friday, May 22, 2020",13,"$1,888"
"Friday, May 22, 2020",13,"$1,850"
"Tuesday, May 19, 2020",12,"$2,083"
"Tuesday, May 19, 2020",9,"$2,420"
"Sunday, May 17, 2020",12,"$1,971"
"Saturday, May 16, 2020",12,"$1,981"
"Saturday, May 16, 2020",13,"$1,819"
"Friday, May 15, 2020",13,"$1,749"
"Thursday, May 14, 2020",8,"$2,300"
"Wednesday, May 13, 2020",11,"$2,327"
"Saturday, May 9, 2020",12,"$2,055"
"Saturday, May 9, 2020",10,"$2,720"
"Wednesday, May 6, 2020",10,"$2,350"
"Thursday, April 30, 2020",9,"$2,488"
"Thursday, April 30, 2020",11,"$2,151"
"Thursday, April 30, 2020",11,"$2,100"
"Wednesday, April 29, 2020",10,"$2,450"
"Tuesday, April 28, 2020",6,"$1,800"
"Saturday, April 25, 2020",11,"$2,028"
"Saturday, April 25, 2020",7,"$2,050"
"Friday, April 24, 2020",12,"$2,040"
"Thursday, April 23, 2020",9,"$2,478"
"Tuesday, April 21, 2020",12,"$1,875"
"Tuesday, April 21, 2020",9,"$2,487"
"Saturday, April 18, 2020",12,"$1,750"
"Thursday, April 16, 2020",10,"$2,200"
"Thursday, April 16, 2020",11,"$2,098"
"Tuesday, April 14, 2020",10,"$2,330"
"Sunday, April 12, 2020",11,"$1,800"
"Saturday, April 11, 2020",9,"$2,301"
"Thursday, April 9, 2020",11,"$1,980"
"Thursday, April 9, 2020",9,"$2,265"
"Thursday, April 9, 2020",13,"$1,634"
"Thursday, April 9, 2020",11,"$2,010"
"Thursday, April 9, 2020",6,"$1,550"
"Wednesday, April 8, 2020",8,"$2,500"
