Date,Time,Size,Price
"Sunday, May 9, 2021",5:54 PM EST,8,$241
"Sunday, May 9, 2021",5:54 PM EST,11,$242
"Sunday, May 9, 2021",5:54 PM EST,8.5,$240
"Sunday, May 9, 2021",5:53 PM EST,10,$243
"Sunday, May 9, 2021",5:50 PM EST,9,$236
"Sunday, May 9, 2021",5:49 PM EST,9,$236
"Sunday, May 9, 2021",5:48 PM EST,10.5,$232
"Sunday, May 9, 2021",5:48 PM EST,10.5,$245
"Sunday, May 9, 2021",5:46 PM EST,13,$240
"Sunday, May 9, 2021",5:46 PM EST,11.5,$245
"Sunday, May 9, 2021",5:46 PM EST,9.5,$243
"Sunday, May 9, 2021",5:46 PM EST,10.5,$245
"Sunday, May 9, 2021",5:45 PM EST,12,$235
"Sunday, May 9, 2021",5:42 PM EST,8.5,$245
"Sunday, May 9, 2021",5:40 PM EST,10.5,$254
"Sunday, May 9, 2021",5:40 PM EST,10,$242
"Sunday, May 9, 2021",5:39 PM EST,10.5,$245
"Sunday, May 9, 2021",5:39 PM EST,8.5,$244
"Sunday, May 9, 2021",5:38 PM EST,11,$241
"Sunday, May 9, 2021",5:35 PM EST,8.5,$233
"Sunday, May 9, 2021",5:35 PM EST,9,$237
"Sunday, May 9, 2021",5:35 PM EST,9.5,$245
"Sunday, May 9, 2021",5:33 PM EST,8,$240
"Sunday, May 9, 2021",5:32 PM EST,7,$269
"Sunday, May 9, 2021",5:31 PM EST,13,$240
"Sunday, May 9, 2021",5:30 PM EST,8,$242
"Sunday, May 9, 2021",5:27 PM EST,10,$243
"Sunday, May 9, 2021",5:24 PM EST,9,$238
"Sunday, May 9, 2021",5:21 PM EST,12,$242
"Sunday, May 9, 2021",5:21 PM EST,8,$242
"Sunday, May 9, 2021",5:21 PM EST,10.5,$245
"Sunday, May 9, 2021",5:19 PM EST,10,$243
"Sunday, May 9, 2021",5:17 PM EST,9.5,$245
"Sunday, May 9, 2021",5:16 PM EST,10,$242
"Sunday, May 9, 2021",5:13 PM EST,8.5,$246
"Sunday, May 9, 2021",5:13 PM EST,18,$250
"Sunday, May 9, 2021",5:10 PM EST,8,$245
"Sunday, May 9, 2021",5:10 PM EST,11.5,$248
"Sunday, May 9, 2021",5:10 PM EST,9.5,$245
"Sunday, May 9, 2021",5:09 PM EST,8,$245
"Sunday, May 9, 2021",5:09 PM EST,13,$245
"Sunday, May 9, 2021",5:08 PM EST,10.5,$244
"Sunday, May 9, 2021",5:07 PM EST,9.5,$245
"Sunday, May 9, 2021",5:06 PM EST,9.5,$245
"Sunday, May 9, 2021",5:04 PM EST,8.5,$247
"Sunday, May 9, 2021",5:00 PM EST,10.5,$240
"Sunday, May 9, 2021",4:59 PM EST,8,$245
"Sunday, May 9, 2021",4:57 PM EST,11.5,$245
"Sunday, May 9, 2021",4:56 PM EST,12,$246
"Sunday, May 9, 2021",4:54 PM EST,10,$243
"Sunday, May 9, 2021",4:54 PM EST,11,$242
"Sunday, May 9, 2021",4:51 PM EST,13,$245
"Sunday, May 9, 2021",4:50 PM EST,11,$242
"Sunday, May 9, 2021",4:49 PM EST,10,$243
"Sunday, May 9, 2021",4:49 PM EST,9,$235
"Sunday, May 9, 2021",4:48 PM EST,11.5,$245
"Sunday, May 9, 2021",4:47 PM EST,13,$244
"Sunday, May 9, 2021",4:45 PM EST,9.5,$245
